Year,Value
1960,59184116489.00
1961,49557050182.96
1962,46685178504.33
1963,50097303271.02
1964,59062254890.19
1965,69709153115.31
1966,75879434776.18
1967,72057028559.67
1968,69993497892.31
1969,78718820477.93
1970,91506211306.37
1971,98562023844.18
1972,112159813640.38
1973,136769878359.67
1974,142254742077.71
1975,161162492226.69
1976,151627687364.41
1977,172349014326.93
1978,148382111520.19
1979,176856525405.73
1980,189649992463.99
1981,194369049090.20
1982,203549627211.61
1983,228950200773.12
1984,258082147252.26
1985,307479585852.34
1986,298805792971.54
1987,271349773463.86
1988,310722213686.03
1989,345957485871.29
1990,358973230048.40
1991,381454703832.75
1992,424934065934.07
1993,442874596387.12
1994,562261129868.77
1995,732032045217.77
1996,860844098049.12
1997,958159424835.34
1998,1025276902078.73
1999,1089447108705.89
2000,1205260678391.96
2001,1332234719889.82
2002,1461906487857.92
2003,1649928718134.59
2004,1941745602165.09
2005,2268598904116.28
2006,2729784031906.09
2007,3523094314820.90
2008,4558431073438.20
2009,5059419738267.41
2010,6039658508485.59
2011,7492432097810.11
2012,8461623162714.07
2013,9490602600148.49
2014,10354831729340.40
